Tags,Accuracy,Recall,F-score,precision,recall,f1-score
VERB,0.9753748684368733,0.9509236088498627,0.962993391033811,0.9735686628324676,0.9763584090974163,0.9749605943058262
NOUN,0.9621837503816387,0.950405223728953,0.9562579335933201,0.9677362308664836,0.9769480345809762,0.9723185257167458
PRON,0.9541647300687499,0.9851645255482937,0.9694157487031594,0.9916775030223495,0.9879388257601421,0.9898044853777292
ADJ,0.9204635653014662,0.9106074144324452,0.9155080587796072,0.9369408379551846,0.9125584754385276,0.9245786092294945
ADV,0.9081917606346576,0.8949607530617083,0.9015259739219784,0.9472248783939772,0.9294637804806183,0.9382426917967397
ADP,0.950054347126118,0.9682117550166354,0.9590461378570085,0.9774835024002474,0.9829022092444728,0.9801842006491664
CONJ,0.992862549487364,0.9949177405682356,0.9938890096597518,0.9940139531461385,0.9970279965685263,0.995518228884201
DET,0.9625223744266893,0.9867620805637856,0.9744913048104182,0.9941027698413112,0.9948475373320713,0.9944747798041427
NUM,0.9706527761937389,0.9157861601085511,0.9424136339852993,0.9729562992591664,0.967414716505332,0.9701690987824607
PRT,0.9075327392025336,0.906954205789221,0.9072414703061206,0.9421208378773599,0.9401271850484484,0.9411073019823906
.,0.9787790787416231,0.9998440892638965,0.9891993828427645,0.9997223215859592,0.9999321633589485,0.9998272294854578
X,0.8145061002358716,0.4980579817936867,0.6165919809176149,0.7722348467098828,0.42039966414246904,0.5416428066109991
